SUBJECT,RELATION,OBJECT_PROPERTY
Extremely Loud and Incredibly Close,HAS_CAST,John Goodman
Viola Davis,CAST_IN,Extremely Loud and Incredibly Close
Extremely Loud and Incredibly Close,HAS_CAST,Viola Davis
Sandra Bullock,CAST_IN,Extremely Loud and Incredibly Close
Extremely Loud and Incredibly Close,HAS_CAST,Sandra Bullock
Tom Hanks,CAST_IN,Extremely Loud and Incredibly Close
Extremely Loud and Incredibly Close,HAS_CAST,Tom Hanks
Drama,GENRE_OF,Extremely Loud and Incredibly Close
Extremely Loud and Incredibly Close,HAS_GENRE,Drama
Tommy Lee Jones,CAST_IN,Batman Forever
Batman Forever,HAS_CAST,Tommy Lee Jones
Nicole Kidman,CAST_IN,Batman Forever
Batman Forever,HAS_CAST,Nicole Kidman
Jim Carrey,CAST_IN,Batman Forever
Batman Forever,HAS_CAST,Jim Carrey
Val Kilmer,CAST_IN,Batman Forever
Batman Forever,HAS_CAST,Val Kilmer
Fantasy,GENRE_OF,Batman Forever
Batman Forever,HAS_GENRE,Fantasy
Crime,GENRE_OF,Batman Forever
Batman Forever,HAS_GENRE,Crime
Action,GENRE_OF,Batman Forever
Batman Forever,HAS_GENRE,Action
War,GENRE_OF,Grave of the Fireflies
Grave of the Fireflies,HAS_GENRE,War
Drama,GENRE_OF,Grave of the Fireflies
Grave of the Fireflies,HAS_GENRE,Drama
Animation,GENRE_OF,Grave of the Fireflies
Grave of the Fireflies,HAS_GENRE,Animation
Romance,GENRE_OF,Weekend
Weekend,HAS_GENRE,Romance
Drama,GENRE_OF,Weekend
Weekend,HAS_GENRE,Drama
Kevin Hart,WROTE,Night School
Night School,HAS_WRITER,Kevin Hart
Rob Riggle,CAST_IN,Night School
Night School,HAS_CAST,Rob Riggle
Tiffany Haddish,CAST_IN,Night School
Night School,HAS_CAST,Tiffany Haddish
Kevin Hart,CAST_IN,Night School
Night School,HAS_CAST,Kevin Hart
Comedy,GENRE_OF,Night School
Night School,HAS_GENRE,Comedy
Horror,GENRE_OF,The 13th Floor
The 13th Floor,HAS_GENRE,Horror
misc,GENRE_OF,Tekken
Tekken,HAS_GENRE,misc
Action,GENRE_OF,Dragon: The Bruce Lee Story
Dragon: The Bruce Lee Story,HAS_GENRE,Action
History,GENRE_OF,Dragon: The Bruce Lee Story
Dragon: The Bruce Lee Story,HAS_GENRE,History
Drama,GENRE_OF,Dragon: The Bruce Lee Story
Dragon: The Bruce Lee Story,HAS_GENRE,Drama
Dane Cook,CAST_IN,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_CAST,Dane Cook
Ed Harris,CAST_IN,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_CAST,Ed Harris
Family,GENRE_OF,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_GENRE,Family
Adventure,GENRE_OF,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_GENRE,Adventure
Comedy,GENRE_OF,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_GENRE,Comedy
Animation,GENRE_OF,Planes: Fire & Rescue
Planes: Fire & Rescue,HAS_GENRE,Animation
Catherine Zeta-Jones,CAST_IN,Broken City
Broken City,HAS_CAST,Catherine Zeta-Jones
Russell Crowe,CAST_IN,Broken City
Broken City,HAS_CAST,Russell Crowe
Mark Wahlberg,CAST_IN,Broken City
Broken City,HAS_CAST,Mark Wahlberg
Drama,GENRE_OF,Broken City
Broken City,HAS_GENRE,Drama
Crime,GENRE_OF,Broken City
Broken City,HAS_GENRE,Crime
Thriller,GENRE_OF,Broken City
Broken City,HAS_GENRE,Thriller
Romance,GENRE_OF,Fiddler on the Roof
Fiddler on the Roof,HAS_GENRE,Romance
Drama,GENRE_OF,Fiddler on the Roof
Fiddler on the Roof,HAS_GENRE,Drama
David Carradine,CAST_IN,The New Swiss Family Robinson
The New Swiss Family Robinson,HAS_CAST,David Carradine
TV Movie,GENRE_OF,The New Swiss Family Robinson
The New Swiss Family Robinson,HAS_GENRE,TV Movie
Action,GENRE_OF,The New Swiss Family Robinson
The New Swiss Family Robinson,HAS_GENRE,Action
Adventure,GENRE_OF,The New Swiss Family Robinson
The New Swiss Family Robinson,HAS_GENRE,Adventure
Robert Ryan,CAST_IN,The Wild Bunch
The Wild Bunch,HAS_CAST,Robert Ryan
Western,GENRE_OF,The Wild Bunch
The Wild Bunch,HAS_GENRE,Western
Family,GENRE_OF,Ed
Ed,HAS_GENRE,Family
Comedy,GENRE_OF,Ed
Ed,HAS_GENRE,Comedy
Peter Jackson,WROTE,Bad Taste
Bad Taste,HAS_WRITER,Peter Jackson
Peter Jackson,DIRECTED,Bad Taste
Bad Taste,HAS_DIRECTOR,Peter Jackson
Peter Jackson,CAST_IN,Bad Taste
Bad Taste,HAS_CAST,Peter Jackson
Science Fiction,GENRE_OF,Bad Taste
Bad Taste,HAS_GENRE,Science Fiction
Horror,GENRE_OF,Bad Taste
Bad Taste,HAS_GENRE,Horror
Comedy,GENRE_OF,Bad Taste
Bad Taste,HAS_GENRE,Comedy
Action,GENRE_OF,Bad Taste
Bad Taste,HAS_GENRE,Action
Steven Spielberg,DIRECTED,Saving Private Ryan
Saving Private Ryan,HAS_DIRECTOR,Steven Spielberg
Matt Damon,CAST_IN,Saving Private Ryan
Saving Private Ryan,HAS_CAST,Matt Damon
Tom Hanks,CAST_IN,Saving Private Ryan
Saving Private Ryan,HAS_CAST,Tom Hanks
War,GENRE_OF,Saving Private Ryan
Saving Private Ryan,HAS_GENRE,War
History,GENRE_OF,Saving Private Ryan
Saving Private Ryan,HAS_GENRE,History
Drama,GENRE_OF,Saving Private Ryan
Saving Private Ryan,HAS_GENRE,Drama
Comedy,GENRE_OF,The End
The End,HAS_GENRE,Comedy
Drama,GENRE_OF,The End
The End,HAS_GENRE,Drama
War,GENRE_OF,PT 109
PT 109,HAS_GENRE,War
Drama,GENRE_OF,PT 109
PT 109,HAS_GENRE,Drama
Comedy,GENRE_OF,We Are the Freaks
We Are the Freaks,HAS_GENRE,Comedy
Mystery,GENRE_OF,High Tension
High Tension,HAS_GENRE,Mystery
Thriller,GENRE_OF,High Tension
High Tension,HAS_GENRE,Thriller
Horror,GENRE_OF,High Tension
High Tension,HAS_GENRE,Horror
Bob Hoskins,CAST_IN,The Cotton Club
The Cotton Club,HAS_CAST,Bob Hoskins
Diane Lane,CAST_IN,The Cotton Club
The Cotton Club,HAS_CAST,Diane Lane
Richard Gere,CAST_IN,The Cotton Club
The Cotton Club,HAS_CAST,Richard Gere
Drama,GENRE_OF,The Cotton Club
The Cotton Club,HAS_GENRE,Drama
Crime,GENRE_OF,The Cotton Club
The Cotton Club,HAS_GENRE,Crime
Monica Potter,CAST_IN,Lower Learning
Lower Learning,HAS_CAST,Monica Potter
Comedy,GENRE_OF,Lower Learning
Lower Learning,HAS_GENRE,Comedy
Billy Wilder,WROTE,Ace in the Hole
Ace in the Hole,HAS_WRITER,Billy Wilder
Billy Wilder,DIRECTED,Ace in the Hole
Ace in the Hole,HAS_DIRECTOR,Billy Wilder
Kirk Douglas,CAST_IN,Ace in the Hole
Ace in the Hole,HAS_CAST,Kirk Douglas
Drama,GENRE_OF,Ace in the Hole
Ace in the Hole,HAS_GENRE,Drama
Mark Rylance,CAST_IN,The Other Boleyn Girl
The Other Boleyn Girl,HAS_CAST,Mark Rylance
Jim Sturgess,CAST_IN,The Other Boleyn Girl
The Other Boleyn Girl,HAS_CAST,Jim Sturgess
Eric Bana,CAST_IN,The Other Boleyn Girl
The Other Boleyn Girl,HAS_CAST,Eric Bana
Scarlett Johansson,CAST_IN,The Other Boleyn Girl
The Other Boleyn Girl,HAS_CAST,Scarlett Johansson
Natalie Portman,CAST_IN,The Other Boleyn Girl
The Other Boleyn Girl,HAS_CAST,Natalie Portman
History,GENRE_OF,The Other Boleyn Girl
The Other Boleyn Girl,HAS_GENRE,History
Romance,GENRE_OF,The Other Boleyn Girl
The Other Boleyn Girl,HAS_GENRE,Romance
Drama,GENRE_OF,The Other Boleyn Girl
The Other Boleyn Girl,HAS_GENRE,Drama
Bernie Mac,WROTE,The Original Kings of Comedy
The Original Kings of Comedy,HAS_WRITER,Bernie Mac
Spike Lee,DIRECTED,The Original Kings of Comedy
The Original Kings of Comedy,HAS_DIRECTOR,Spike Lee
Bernie Mac,CAST_IN,The Original Kings of Comedy
The Original Kings of Comedy,HAS_CAST,Bernie Mac
Steve Harvey,CAST_IN,The Original Kings of Comedy
The Original Kings of Comedy,HAS_CAST,Steve Harvey
Comedy,GENRE_OF,The Original Kings of Comedy
The Original Kings of Comedy,HAS_GENRE,Comedy
Crime,GENRE_OF,Man on a Ledge
Man on a Ledge,HAS_GENRE,Crime
Thriller,GENRE_OF,Man on a Ledge
Man on a Ledge,HAS_GENRE,Thriller
Action,GENRE_OF,Man on a Ledge
Man on a Ledge,HAS_GENRE,Action
Gene Wilder,CAST_IN,Willy Wonka & the Chocolate Factory
Willy Wonka & the Chocolate Factory,HAS_CAST,Gene Wilder
Comedy,GENRE_OF,Willy Wonka & the Chocolate Factory
Willy Wonka & the Chocolate Factory,HAS_GENRE,Comedy
Fantasy,GENRE_OF,Willy Wonka & the Chocolate Factory
Willy Wonka & the Chocolate Factory,HAS_GENRE,Fantasy
Family,GENRE_OF,Willy Wonka & the Chocolate Factory
Willy Wonka & the Chocolate Factory,HAS_GENRE,Family
Drama,GENRE_OF,King Lear
King Lear,HAS_GENRE,Drama
Comedy,GENRE_OF,The Sandlot 2
The Sandlot 2,HAS_GENRE,Comedy
Family,GENRE_OF,The Sandlot 2
The Sandlot 2,HAS_GENRE,Family
Zoe Kazan,CAST_IN,Me and Orson Welles
Me and Orson Welles,HAS_CAST,Zoe Kazan
Claire Danes,CAST_IN,Me and Orson Welles
Me and Orson Welles,HAS_CAST,Claire Danes
Zac Efron,CAST_IN,Me and Orson Welles
Me and Orson Welles,HAS_CAST,Zac Efron
History,GENRE_OF,Me and Orson Welles
Me and Orson Welles,HAS_GENRE,History
Drama,GENRE_OF,Me and Orson Welles
Me and Orson Welles,HAS_GENRE,Drama
Helen Mirren,CAST_IN,Monsters University
Monsters University,HAS_CAST,Helen Mirren
Steve Buscemi,CAST_IN,Monsters University
Monsters University,HAS_CAST,Steve Buscemi
John Goodman,CAST_IN,Monsters University
Monsters University,HAS_CAST,John Goodman
Billy Crystal,CAST_IN,Monsters University
Monsters University,HAS_CAST,Billy Crystal
Family,GENRE_OF,Monsters University
Monsters University,HAS_GENRE,Family
Animation,GENRE_OF,Monsters University
Monsters University,HAS_GENRE,Animation
Crime,GENRE_OF,Fugitives
Fugitives,HAS_GENRE,Crime
Danny DeVito,DIRECTED,Death to Smoochy
Death to Smoochy,HAS_DIRECTOR,Danny DeVito
Danny DeVito,CAST_IN,Death to Smoochy
Death to Smoochy,HAS_CAST,Danny DeVito
Edward Norton,CAST_IN,Death to Smoochy
Death to Smoochy,HAS_CAST,Edward Norton
Robin Williams,CAST_IN,Death to Smoochy
Death to Smoochy,HAS_CAST,Robin Williams
Thriller,GENRE_OF,Death to Smoochy
Death to Smoochy,HAS_GENRE,Thriller
Drama,GENRE_OF,Death to Smoochy
Death to Smoochy,HAS_GENRE,Drama
Crime,GENRE_OF,Death to Smoochy
Death to Smoochy,HAS_GENRE,Crime
Comedy,GENRE_OF,Death to Smoochy
Death to Smoochy,HAS_GENRE,Comedy
John Hughes,WROTE,The Great Outdoors
The Great Outdoors,HAS_WRITER,John Hughes
John Candy,CAST_IN,The Great Outdoors
The Great Outdoors,HAS_CAST,John Candy
Comedy,GENRE_OF,The Great Outdoors
The Great Outdoors,HAS_GENRE,Comedy
Michael Caine,CAST_IN,Miss Congeniality
Miss Congeniality,HAS_CAST,Michael Caine
Sandra Bullock,CAST_IN,Miss Congeniality
Miss Congeniality,HAS_CAST,Sandra Bullock
Action,GENRE_OF,Miss Congeniality
Miss Congeniality,HAS_GENRE,Action
Crime,GENRE_OF,Miss Congeniality
Miss Congeniality,HAS_GENRE,Crime
Comedy,GENRE_OF,Miss Congeniality
Miss Congeniality,HAS_GENRE,Comedy
Drama,GENRE_OF,House
House,HAS_GENRE,Drama
Comedy,GENRE_OF,House
House,HAS_GENRE,Comedy
Matthew Broderick,CAST_IN,Tower Heist
Tower Heist,HAS_CAST,Matthew Broderick
Alan Alda,CAST_IN,Tower Heist
Tower Heist,HAS_CAST,Alan Alda
Casey Affleck,CAST_IN,Tower Heist
Tower Heist,HAS_CAST,Casey Affleck
Eddie Murphy,CAST_IN,Tower Heist
Tower Heist,HAS_CAST,Eddie Murphy
Ben Stiller,CAST_IN,Tower Heist
Tower Heist,HAS_CAST,Ben Stiller
Comedy,GENRE_OF,Tower Heist
Tower Heist,HAS_GENRE,Comedy
Action,GENRE_OF,Tower Heist
Tower Heist,HAS_GENRE,Action
Andrei Tarkovsky,DIRECTED,Stalker
Stalker,HAS_DIRECTOR,Andrei Tarkovsky
Drama,GENRE_OF,Stalker
Stalker,HAS_GENRE,Drama
Science Fiction,GENRE_OF,Stalker
Stalker,HAS_GENRE,Science Fiction
Christina Ricci,CAST_IN,The Addams Family
The Addams Family,HAS_CAST,Christina Ricci
Fantasy,GENRE_OF,The Addams Family
The Addams Family,HAS_GENRE,Fantasy
Comedy,GENRE_OF,The Addams Family
The Addams Family,HAS_GENRE,Comedy
Neil Patrick Harris,CAST_IN,Harold & Kumar
Harold & Kumar,HAS_CAST,Neil Patrick Harris
Comedy,GENRE_OF,Harold & Kumar
Harold & Kumar,HAS_GENRE,Comedy
Mel Gibson,DIRECTED,The Passion of the Christ
The Passion of the Christ,HAS_DIRECTOR,Mel Gibson
Monica Bellucci,CAST_IN,The Passion of the Christ
The Passion of the Christ,HAS_CAST,Monica Bellucci
Jim Caviezel,CAST_IN,The Passion of the Christ
The Passion of the Christ,HAS_CAST,Jim Caviezel
Drama,GENRE_OF,The Passion of the Christ
The Passion of the Christ,HAS_GENRE,Drama
Romance,GENRE_OF,Loving
Loving,HAS_GENRE,Romance
Drama,GENRE_OF,Loving
Loving,HAS_GENRE,Drama
Sally Field,CAST_IN,Norma Rae
Norma Rae,HAS_CAST,Sally Field
Drama,GENRE_OF,Norma Rae
Norma Rae,HAS_GENRE,Drama
Kate Beckinsale,CAST_IN,Van Helsing
Van Helsing,HAS_CAST,Kate Beckinsale
Hugh Jackman,CAST_IN,Van Helsing
Van Helsing,HAS_CAST,Hugh Jackman
Action,GENRE_OF,Van Helsing
Van Helsing,HAS_GENRE,Action
Adventure,GENRE_OF,Van Helsing
Van Helsing,HAS_GENRE,Adventure
Horror,GENRE_OF,Van Helsing
Van Helsing,HAS_GENRE,Horror
John Woo,DIRECTED,Mission: Impossible II
Mission: Impossible II,HAS_DIRECTOR,John Woo
Tom Cruise,CAST_IN,Mission: Impossible II
Mission: Impossible II,HAS_CAST,Tom Cruise
Thriller,GENRE_OF,Mission: Impossible II
Mission: Impossible II,HAS_GENRE,Thriller
Action,GENRE_OF,Mission: Impossible II
Mission: Impossible II,HAS_GENRE,Action
Adventure,GENRE_OF,Mission: Impossible II
Mission: Impossible II,HAS_GENRE,Adventure
Olivia Thirlby,CAST_IN,The Wedding Ringer
The Wedding Ringer,HAS_CAST,Olivia Thirlby
Josh Gad,CAST_IN,The Wedding Ringer
The Wedding Ringer,HAS_CAST,Josh Gad
Kevin Hart,CAST_IN,The Wedding Ringer
The Wedding Ringer,HAS_CAST,Kevin Hart
Comedy,GENRE_OF,The Wedding Ringer
The Wedding Ringer,HAS_GENRE,Comedy
Martin Freeman,CAST_IN,Black Panther
Black Panther,HAS_CAST,Martin Freeman
Chadwick Boseman,CAST_IN,Black Panther
Black Panther,HAS_CAST,Chadwick Boseman
Science Fiction,GENRE_OF,Black Panther
Black Panther,HAS_GENRE,Science Fiction
Adventure,GENRE_OF,Black Panther
Black Panther,HAS_GENRE,Adventure
Action,GENRE_OF,Black Panther
Black Panther,HAS_GENRE,Action
Billy Bob Thornton,CAST_IN,The Man Who Wasn't There
The Man Who Wasn't There,HAS_CAST,Billy Bob Thornton
Drama,GENRE_OF,The Man Who Wasn't There
The Man Who Wasn't There,HAS_GENRE,Drama
Crime,GENRE_OF,The Man Who Wasn't There
The Man Who Wasn't There,HAS_GENRE,Crime
misc,GENRE_OF,The Man Who Wasn't There
The Man Who Wasn't There,HAS_GENRE,misc
Jet Li,CAST_IN,Once Upon a Time in China
Once Upon a Time in China,HAS_CAST,Jet Li
Drama,GENRE_OF,Once Upon a Time in China
Once Upon a Time in China,HAS_GENRE,Drama
Action,GENRE_OF,Once Upon a Time in China
Once Upon a Time in China,HAS_GENRE,Action
TV Movie,GENRE_OF,Children of the Corn
Children of the Corn,HAS_GENRE,TV Movie
Linda Hamilton,CAST_IN,Children of the Corn
Children of the Corn,HAS_CAST,Linda Hamilton
Thriller,GENRE_OF,Children of the Corn
Children of the Corn,HAS_GENRE,Thriller
Horror,GENRE_OF,Children of the Corn
Children of the Corn,HAS_GENRE,Horror
History,GENRE_OF,National Security
National Security,HAS_GENRE,History
Drama,GENRE_OF,National Security
National Security,HAS_GENRE,Drama
Corey Feldman,CAST_IN,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_CAST,Corey Feldman
Family,GENRE_OF,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_GENRE,Family
Megan Fox,CAST_IN,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_CAST,Megan Fox
Comedy,GENRE_OF,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_GENRE,Comedy
Adventure,GENRE_OF,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_GENRE,Adventure
Action,GENRE_OF,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_GENRE,Action
Science Fiction,GENRE_OF,Teenage Mutant Ninja Turtles
Teenage Mutant Ninja Turtles,HAS_GENRE,Science Fiction
Mystery,GENRE_OF,Goodnight Mommy
Goodnight Mommy,HAS_GENRE,Mystery
Thriller,GENRE_OF,Goodnight Mommy
Goodnight Mommy,HAS_GENRE,Thriller
Drama,GENRE_OF,Goodnight Mommy
Goodnight Mommy,HAS_GENRE,Drama
Horror,GENRE_OF,Goodnight Mommy
Goodnight Mommy,HAS_GENRE,Horror
Hilary Duff,CAST_IN,According to Greta
According to Greta,HAS_CAST,Hilary Duff
Romance,GENRE_OF,According to Greta
According to Greta,HAS_GENRE,Romance
Drama,GENRE_OF,According to Greta
According to Greta,HAS_GENRE,Drama
Cary Elwes,CAST_IN,Shadow of the Vampire
Shadow of the Vampire,HAS_CAST,Cary Elwes
Willem Dafoe,CAST_IN,Shadow of the Vampire
Shadow of the Vampire,HAS_CAST,Willem Dafoe
Horror,GENRE_OF,Shadow of the Vampire
Shadow of the Vampire,HAS_GENRE,Horror
Drama,GENRE_OF,Shadow of the Vampire
Shadow of the Vampire,HAS_GENRE,Drama
Drama,GENRE_OF,Flicka
Flicka,HAS_GENRE,Drama
Family,GENRE_OF,Flicka
Flicka,HAS_GENRE,Family
Bradley Cooper,CAST_IN,Yes Man
Yes Man,HAS_CAST,Bradley Cooper
Zooey Deschanel,CAST_IN,Yes Man
Yes Man,HAS_CAST,Zooey Deschanel
Jim Carrey,CAST_IN,Yes Man
Yes Man,HAS_CAST,Jim Carrey
Romance,GENRE_OF,Yes Man
Yes Man,HAS_GENRE,Romance
Comedy,GENRE_OF,Yes Man
Yes Man,HAS_GENRE,Comedy
Documentary,GENRE_OF,In the Labyrinth
In the Labyrinth,HAS_GENRE,Documentary
Comedy,GENRE_OF,Best Friends
Best Friends,HAS_GENRE,Comedy
Family,GENRE_OF,Third Man on the Mountain
Third Man on the Mountain,HAS_GENRE,Family
Drama,GENRE_OF,Third Man on the Mountain
Third Man on the Mountain,HAS_GENRE,Drama
Adventure,GENRE_OF,Third Man on the Mountain
Third Man on the Mountain,HAS_GENRE,Adventure
David Fincher,DIRECTED,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_DIRECTOR,David Fincher
Robin Wright,CAST_IN,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_CAST,Robin Wright
Rooney Mara,CAST_IN,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_CAST,Rooney Mara
Daniel Craig,CAST_IN,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_CAST,Daniel Craig
Michael Nyqvist,CAST_IN,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_CAST,Michael Nyqvist
Mystery,GENRE_OF,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_GENRE,Mystery
Crime,GENRE_OF,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_GENRE,Crime
Thriller,GENRE_OF,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_GENRE,Thriller
Drama,GENRE_OF,The Girl with the Dragon Tattoo
The Girl with the Dragon Tattoo,HAS_GENRE,Drama
Comedy,GENRE_OF,Brother Nature
Brother Nature,HAS_GENRE,Comedy
Julianne Moore,CAST_IN,Seventh Son
Seventh Son,HAS_CAST,Julianne Moore
Jeff Bridges,CAST_IN,Seventh Son
Seventh Son,HAS_CAST,Jeff Bridges
Fantasy,GENRE_OF,Seventh Son
Seventh Son,HAS_GENRE,Fantasy
Adventure,GENRE_OF,Seventh Son
Seventh Son,HAS_GENRE,Adventure
Thriller,GENRE_OF,Mastermind
Mastermind,HAS_GENRE,Thriller
Comedy,GENRE_OF,Mastermind
Mastermind,HAS_GENRE,Comedy
Anthony Hopkins,CAST_IN,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_CAST,Anthony Hopkins
Keanu Reeves,CAST_IN,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_CAST,Keanu Reeves
Winona Ryder,CAST_IN,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_CAST,Winona Ryder
Gary Oldman,CAST_IN,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_CAST,Gary Oldman
Horror,GENRE_OF,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_GENRE,Horror
Romance,GENRE_OF,Bram Stoker's Dracula
Bram Stoker's Dracula,HAS_GENRE,Romance
Horror,GENRE_OF,"Silent Night, Deadly Night"
"Silent Night, Deadly Night",HAS_GENRE,Horror
Thriller,GENRE_OF,"Silent Night, Deadly Night"
"Silent Night, Deadly Night",HAS_GENRE,Thriller
Romance,GENRE_OF,Rangoon
Rangoon,HAS_GENRE,Romance
Drama,GENRE_OF,Rangoon
Rangoon,HAS_GENRE,Drama
History,GENRE_OF,Rangoon
Rangoon,HAS_GENRE,History
War,GENRE_OF,Rangoon
Rangoon,HAS_GENRE,War
Horror,GENRE_OF,Cabin Fever
Cabin Fever,HAS_GENRE,Horror
Drama,GENRE_OF,Cabin Fever
Cabin Fever,HAS_GENRE,Drama
Tony Scott,DIRECTED,Domino
Domino,HAS_DIRECTOR,Tony Scott
Keira Knightley,CAST_IN,Domino
Domino,HAS_CAST,Keira Knightley
Crime,GENRE_OF,Domino
Domino,HAS_GENRE,Crime
Action,GENRE_OF,Domino
Domino,HAS_GENRE,Action
Barack Obama,CAST_IN,Citizenfour
Citizenfour,HAS_CAST,Barack Obama
Edward Snowden,CAST_IN,Citizenfour
Citizenfour,HAS_CAST,Edward Snowden
Documentary,GENRE_OF,Citizenfour
Citizenfour,HAS_GENRE,Documentary
Guillermo del Toro,DIRECTED,Mimic
Mimic,HAS_DIRECTOR,Guillermo del Toro
Josh Brolin,CAST_IN,Mimic
Mimic,HAS_CAST,Josh Brolin
Science Fiction,GENRE_OF,Mimic
Mimic,HAS_GENRE,Science Fiction
Horror,GENRE_OF,Mimic
Mimic,HAS_GENRE,Horror
Natalie Portman,CAST_IN,Anywhere but Here
Anywhere but Here,HAS_CAST,Natalie Portman
Susan Sarandon,CAST_IN,Anywhere but Here
Anywhere but Here,HAS_CAST,Susan Sarandon
Romance,GENRE_OF,Anywhere but Here
Anywhere but Here,HAS_GENRE,Romance
Comedy,GENRE_OF,Anywhere but Here
Anywhere but Here,HAS_GENRE,Comedy
Drama,GENRE_OF,Anywhere but Here
Anywhere but Here,HAS_GENRE,Drama
Comedy,GENRE_OF,Odd Squad: The Movie
Odd Squad: The Movie,HAS_GENRE,Comedy
Family,GENRE_OF,Odd Squad: The Movie
Odd Squad: The Movie,HAS_GENRE,Family
Thriller,GENRE_OF,Cyrus: Mind of a Serial Killer
Cyrus: Mind of a Serial Killer,HAS_GENRE,Thriller
Mystery,GENRE_OF,Cyrus: Mind of a Serial Killer
Cyrus: Mind of a Serial Killer,HAS_GENRE,Mystery
Horror,GENRE_OF,Cyrus: Mind of a Serial Killer
Cyrus: Mind of a Serial Killer,HAS_GENRE,Horror
Crime,GENRE_OF,Cyrus: Mind of a Serial Killer
Cyrus: Mind of a Serial Killer,HAS_GENRE,Crime
Lauren Graham,CAST_IN,Sweet November
Sweet November,HAS_CAST,Lauren Graham
Charlize Theron,CAST_IN,Sweet November
Sweet November,HAS_CAST,Charlize Theron
Keanu Reeves,CAST_IN,Sweet November
Sweet November,HAS_CAST,Keanu Reeves
Romance,GENRE_OF,Sweet November
Sweet November,HAS_GENRE,Romance
Drama,GENRE_OF,Sweet November
Sweet November,HAS_GENRE,Drama
Jeff Goldblum,CAST_IN,Man of the Year
Man of the Year,HAS_CAST,Jeff Goldblum
Laura Linney,CAST_IN,Man of the Year
Man of the Year,HAS_CAST,Laura Linney
Christopher Walken,CAST_IN,Man of the Year
Man of the Year,HAS_CAST,Christopher Walken
Robin Williams,CAST_IN,Man of the Year
Man of the Year,HAS_CAST,Robin Williams
Thriller,GENRE_OF,Man of the Year
Man of the Year,HAS_GENRE,Thriller
Romance,GENRE_OF,Man of the Year
Man of the Year,HAS_GENRE,Romance
Comedy,GENRE_OF,Man of the Year
Man of the Year,HAS_GENRE,Comedy
Horror,GENRE_OF,Wolfman
Wolfman,HAS_GENRE,Horror
Mystery,GENRE_OF,Cube 2: Hypercube
Cube 2: Hypercube,HAS_GENRE,Mystery
Science Fiction,GENRE_OF,Cube 2: Hypercube
Cube 2: Hypercube,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,Cube 2: Hypercube
Cube 2: Hypercube,HAS_GENRE,Thriller
Olivia Thirlby,CAST_IN,The Darkest Hour
The Darkest Hour,HAS_CAST,Olivia Thirlby
Emile Hirsch,CAST_IN,The Darkest Hour
The Darkest Hour,HAS_CAST,Emile Hirsch
Science Fiction,GENRE_OF,The Darkest Hour
The Darkest Hour,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,The Darkest Hour
The Darkest Hour,HAS_GENRE,Thriller
Action,GENRE_OF,The Darkest Hour
The Darkest Hour,HAS_GENRE,Action
Horror,GENRE_OF,The Darkest Hour
The Darkest Hour,HAS_GENRE,Horror
Adventure,GENRE_OF,Justice League: The Flashpoint Paradox
Justice League: The Flashpoint Paradox,HAS_GENRE,Adventure
Action,GENRE_OF,Justice League: The Flashpoint Paradox
Justice League: The Flashpoint Paradox,HAS_GENRE,Action
Animation,GENRE_OF,Justice League: The Flashpoint Paradox
Justice League: The Flashpoint Paradox,HAS_GENRE,Animation
Science Fiction,GENRE_OF,Justice League: The Flashpoint Paradox
Justice League: The Flashpoint Paradox,HAS_GENRE,Science Fiction
Music,GENRE_OF,I Am Thor
I Am Thor,HAS_GENRE,Music
Documentary,GENRE_OF,I Am Thor
I Am Thor,HAS_GENRE,Documentary
Nancy Allen,CAST_IN,RoboCop
RoboCop,HAS_CAST,Nancy Allen
Science Fiction,GENRE_OF,RoboCop
RoboCop,HAS_GENRE,Science Fiction
Thriller,GENRE_OF,RoboCop
RoboCop,HAS_GENRE,Thriller
